dimension,generator,method,score,pred_score
可部署性,ali-qwen,all,0.3355263157894736,0.4999999999999999
可部署性,ali-qwen,no_cot,0.20582706766917291,0.4999999999999999
可部署性,ali-qwen,no_feedback,0.15601503759398497,0.4999999999999999
可部署性,ali-qwen,no_rag,0.475563909774436,0.4999999999999999
可部署性,deepseek,all,0.6992481203007518,0.4999999999999999
可部署性,deepseek,no_cot,0.5921052631578947,0.4999999999999999
可部署性,deepseek,no_feedback,0.5789473684210525,0.4999999999999999
可部署性,deepseek,no_rag,0.5582706766917294,0.4999999999999999
可部署性,glm4.5,all,0.6851503759398495,0.4999999999999999
可部署性,glm4.5,no_cot,0.4633458646616541,0.4999999999999999
可部署性,glm4.5,no_feedback,0.4407894736842105,0.4999999999999999
可部署性,glm4.5,no_rag,0.49436090225563906,0.4999999999999999
可部署性,gpt5,all,0.9736842105263158,0.4999999999999999
可部署性,gpt5,no_cot,0.4934210526315789,0.4999999999999999
可部署性,gpt5,no_feedback,0.43796992481203006,0.4999999999999999
可部署性,gpt5,no_rag,0.7114661654135339,0.4999999999999999
可部署性,grok4,all,0.5864661654135339,0.4999999999999999
可部署性,grok4,no_cot,0.34680451127819545,0.4999999999999999
可部署性,grok4,no_feedback,0.29229323308270677,0.4999999999999999
可部署性,grok4,no_rag,0.47274436090225563,0.4999999999999999
无干扰性,ali-qwen,all,0.3515037593984962,0.560510026488183
无干扰性,ali-qwen,no_cot,0.30545112781954886,0.5077788743869112
无干扰性,ali-qwen,no_feedback,0.23120300751879697,0.4753576846184455
无干扰性,ali-qwen,no_rag,0.5761278195488722,0.5496882097296564
无干扰性,deepseek,all,0.7058270676691729,0.5457557999629425
无干扰性,deepseek,no_cot,0.543233082706767,0.5262488856589989
无干扰性,deepseek,no_feedback,0.5817669172932332,0.4959244225740005
无干扰性,deepseek,no_rag,0.6221804511278195,0.5526050563518732
无干扰性,glm4.5,all,0.5742481203007518,0.533877479090838
无干扰性,glm4.5,no_cot,0.39849624060150374,0.4608594433497553
无干扰性,glm4.5,no_feedback,0.3674812030075188,0.4479388449556455
无干扰性,glm4.5,no_rag,0.5216165413533834,0.519369911501006
无干扰性,gpt5,all,0.7706766917293233,0.4553063947872643
无干扰性,gpt5,no_cot,0.4990601503759398,0.4640038220453774
无干扰性,gpt5,no_feedback,0.3881578947368421,0.4563537306529398
无干扰性,gpt5,no_rag,0.724624060150376,0.46029704747319256
无干扰性,grok4,all,0.5930451127819548,0.5465379823241656
无干扰性,grok4,no_cot,0.38251879699248115,0.49037137401150943
无干扰性,grok4,no_feedback,0.3082706766917293,0.4479194019471632
无干扰性,grok4,no_rag,0.5545112781954887,0.5032956080901322
有效性,ali-qwen,all,0.27365288220551376,0.4422912188505453
有效性,ali-qwen,no_cot,0.2019138755980861,0.37672990601455836
有效性,ali-qwen,no_feedback,0.14014202172096907,0.3547048822864254
有效性,ali-qwen,no_rag,0.38841896407685883,0.4915733216093067
有效性,deepseek,all,0.7363721804511278,0.5987345869620795
有效性,deepseek,no_cot,0.6821219715956558,0.40856539342512244
有效性,deepseek,no_feedback,0.6160192147034252,0.40319754317781864
有效性,deepseek,no_rag,0.4251775271512113,0.5601422469453139
有效性,glm4.5,all,0.7245718462823726,0.5921991368082904
有效性,glm4.5,no_cot,0.547984544695071,0.4381367967798621
有效性,glm4.5,no_feedback,0.4575501253132832,0.39129838297884195
有效性,glm4.5,no_rag,0.4156223893065998,0.5780191329373066
有效性,gpt5,all,0.9934210526315789,0.7303207692944393
有效性,gpt5,no_cot,0.5280910609857978,0.6730494597609096
有效性,gpt5,no_feedback,0.44454887218045114,0.6142680413957473
有效性,gpt5,no_rag,0.6152882205513784,0.6963778053520185
有效性,grok4,all,0.6433792815371763,0.4652748748899217
有效性,grok4,no_cot,0.41327276524644946,0.4108420482361348
有效性,grok4,no_feedback,0.32858187134502925,0.30699551273977294
有效性,grok4,no_rag,0.41854636591478694,0.4619559730484106
