dimension,judge,weight,a,b,a_train,b_train,all_mse,train_mse,val_mse,n_train,n_val
all,ali-qwen,0.11922046691489602,1.0,0.0,1.0,0.0,0.03508488553431756,0.03508488553431756,,60,0
all,deepseek,3.844736617654287e-18,1.0,0.0,1.0,0.0,0.03508488553431756,0.03508488553431756,,60,0
all,glm4.5,2.5741015664505448e-17,1.0,0.0,1.0,0.0,0.03508488553431756,0.03508488553431756,,60,0
all,gpt5,0.880779533085104,1.0,0.0,1.0,0.0,0.03508488553431756,0.03508488553431756,,60,0
all,grok4,0.0,1.0,0.0,1.0,0.0,0.03508488553431756,0.03508488553431756,,60,0
