model,dimension,n,mse,cv,k,seed,train_mse
baseline,可部署性,20,0.03412985264148016,loo,0,7,0.03441742402408971
baseline,无干扰性,20,0.03241321649808671,loo,0,7,0.03441742402408971
baseline,有效性,20,0.049644865487040224,loo,0,7,0.03441742402408971
calibrated,可部署性,20,0.03777465281096213,loo,0,7,0.026274729291967176
calibrated,无干扰性,20,0.028501644466176878,loo,0,7,0.026274729291967176
calibrated,有效性,20,0.03711626638956866,loo,0,7,0.026274729291967176
baseline,__overall__,60,0.03872931154220236,loo,0,7,0.03441742402408971
calibrated,__overall__,60,0.034464187888902556,loo,0,7,0.026274729291967176
